name,colorIdentity,keywords,supertypes
Spawning Grounds,G,Enchant,
Vow of Wildness,G,Enchant,
Wild Growth,G,Enchant,
Yavimaya Elder,G,,
Yavimaya Enchantress,G,,
Aethermage's Touch,"U, W",,
Bant Charm,"G, U, W",,
"Bruna, Light of Alabaster","U, W","Flying, Vigilance",Legendary
Charnelhoard Wurm,"B, G, R",Trample,
Cold-Eyed Selkie,"G, U","Islandwalk, Landwalk",
Daxos of Meletis,"U, W",,Legendary
Deathreap Ritual,"B, G",Morbid,
Decimate,"G, R",,
Duskmantle Seer,"B, U",Flying,
Elderwood Scion,"G, W","Lifelink, Trample",
Enigma Sphinx,"B, U, W","Cascade, Flying",
Esper Charm,"B, U, W",,
Finest Hour,"G, U, W",Exalted,
Gaze of Granite,"B, G",,
Grisly Salvage,"B, G",,
High Priest of Penance,"B, W",,
Lavalanche,"B, G, R",,
Maverick Thopterist,"R, U",Improvise,
Mortify,"B, W",,
Putrefy,"B, G",,
Righteous Authority,"U, W",Enchant,
Rubblehulk,"G, R",Bloodrush,
Savage Twister,"G, R",,
Silent-Blade Oni,"B, U",Ninjutsu,
Unflinching Courage,"G, W",Enchant,
Utter End,"B, W",,
Worm Harvest,"B, G",Retrace,
Zendikar Incarnate,"G, R",,
Azorius Signet,"U, W",,
Blinkmoth Urn,,,
"Bosh, Iron Golem",R,Trample,Legendary
Chief of the Foundry,,,
Commander's Sphere,,,
Crystal Ball,,Scry,
Darksteel Juggernaut,,Indestructible,
Dimir Signet,"B, U",,
Dreamstone Hedron,,,
Duplicant,,Imprint,
Hedron Archive,,,
Izzet Signet,"R, U",,
Magnifying Glass,,Investigate,
Mimic Vat,,Imprint,
Mind Stone,,,
Mirrorworks,,,
Myr Battlesphere,,,
Orzhov Signet,"B, W",,
Pilgrim's Eye,,Flying,
Prismatic Lens,,,
Prototype Portal,,Imprint,
Psychosis Crawler,,,
Scrabbling Claws,,,
Scuttling Doom Engine,,,
Seer's Lantern,,Scry,
Seer's Sundial,,Landfall,
Sol Ring,,,
Soul of New Phyrexia,,Trample,
Steel Hellkite,,Flying,
Swiftfoot Boots,,Equip,
Thopter Assembly,,Flying,
Unstable Obelisk,,,
Unwinding Clock,,,
Vessel of Endless Rest,,,
Worn Powerstone,,,
Akoum Refuge,"B, R",,
Arcane Sanctum,"B, U, W",,
Azorius Chancery,"U, W",,
Azorius Guildgate,"U, W",,
Barren Moor,B,Cycling,
Blighted Woodland,G,,
Blossoming Sands,"G, W",,
Bojuka Bog,B,,
Buried Ruin,,,
Command Tower,,,
Darksteel Citadel,,Indestructible,
Dimir Aqueduct,"B, U",,
Dimir Guildgate,"B, U",,
Dismal Backwater,"B, U",,
Evolving Wilds,,,
Forgotten Cave,R,Cycling,
Forsaken Sanctuary,"B, W",,
Foundry of the Consuls,,,
Golgari Rot Farm,"B, G",,
Great Furnace,R,,
Grim Backwoods,"B, G",,
Gruul Turf,"G, R",,
Halimar Depths,U,,
Haunted Fengraf,,,
Highland Lake,"R, U",,
Izzet Boilerworks,"R, U",,
Izzet Guildgate,"R, U",,
Jund Panorama,,,
Jungle Hollow,"B, G",,
Jwar Isle Refuge,"B, U",,
Kazandu Refuge,"G, R",,
Khalni Garden,G,,
Krosan Verge,,,
Lonely Sandbar,U,Cycling,
Meandering River,"U, W",,
Mortuary Mire,B,,
Mosswort Bridge,G,Hideaway,
Mountain Valley,,,
Myriad Landscape,,,
New Benalia,W,Scry,
Orzhov Basilica,"B, W",,
Orzhov Guildgate,"B, W",,
Rakdos Carnarium,"B, R",,
Rocky Tar Pit,,,
Savage Lands,"B, G, R",,
Scoured Barrens,"B, W",,
Seaside Citadel,"G, U, W",,
Seat of the Synod,U,,
Secluded Steppe,W,Cycling,
Sejiri Refuge,"U, W",,
Selesnya Sanctuary,"G, W",,
Simic Growth Chamber,"G, U",,
Submerged Boneyard,"B, U",,
Swiftwater Cliffs,"R, U",,
Temple of the False God,,,
Terramorphic Expanse,,,
Thornwood Falls,"G, U",,
Tranquil Cove,"U, W",,
Tranquil Expanse,"G, W",,
Tranquil Thicket,G,Cycling,
Warped Landscape,,,
Woodland Stream,"G, U",,
Plains,W,,Basic
Plains,W,,Basic
Plains,W,,Basic
Island,U,,Basic
Island,U,,Basic
Island,U,,Basic
Swamp,B,,Basic
Swamp,B,,Basic
Swamp,B,,Basic
Mountain,R,,Basic
Mountain,R,,Basic
Mountain,R,,Basic
Forest,G,,Basic
Forest,G,,Basic
Forest,G,,Basic
Cliffside Rescuer,W,Vigilance,
Commander's Insignia,W,,
Doomed Artisan,W,,
Mandate of Peace,W,,
Sevinne's Reclamation,W,Flashback,
Song of the Worldsoul,W,Populate,
Thalia's Geistcaller,W,Lifelink,
Kadena's Silencer,U,Megamorph,
Leadership Vacuum,U,,
Mass Diminish,U,Flashback,
Sudden Substitution,U,Split second,
Thought Sponge,U,Flash,
Wall of Stolen Identity,U,,
Archfiend of Spite,B,"Flying, Madness",
Bone Miser,B,,
Curse of Fool's Wisdom,B,"Enchant, Madness",
Gift of Doom,B,"Enchant, Morph",
"K'rrik, Son of Yawgmoth",B,Lifelink,Legendary
Mire in Misery,B,,
Nightmare Unmaking,B,,
Thieving Amalgam,B,Manifest,
Anje's Ravager,R,Madness,
Backdraft Hellkite,R,Flying,
Dockside Extortionist,R,Treasure,
Ghired's Belligerence,R,Populate,
Hate Mirage,R,,
Ignite the Future,R,Flashback,
Skyfire Phoenix,R,"Flying, Haste",
Tectonic Hellion,R,Haste,
Wildfire Devils,R,,
Apex Altisaur,G,"Enrage, Fight",
Full Flowering,G,Populate,
Ohran Frostfang,G,,Snow
Road of Return,G,Entwine,
Selesnya Eulogist,G,Populate,
Voice of Many,G,,
Anje Falkenrath,"B, R",Haste,Legendary
"Atla Palani, Nest Tender","G, R, W",,Legendary
"Chainer, Nightmare Adept","B, R",,Legendary
Elsha of the Infinite,"R, U, W",Prowess,Legendary
"Gerrard, Weatherlight Hero","R, W",First strike,Legendary
"Ghired, Conclave Exile","G, R, W",Populate,Legendary
"Greven, Predator Captain","B, R",Menace,Legendary
"Grismold, the Dreadsower","B, G",Trample,Legendary
"Kadena, Slinking Sorcerer","B, G, U",,Legendary
"Marisi, Breaker of the Coil","G, R, W",Goad,Legendary
"Pramikon, Sky Rampart","R, U, W","Defender, Flying",Legendary
"Rayami, First of the Fallen","B, G, U",,Legendary
"Sevinne, the Chronoclasm","R, U, W",,Legendary
"Tahngarth, First Mate","G, R",,Legendary
"Volrath, the Shapestealer","B, G, U",,Legendary
Aeon Engine,,,
Bloodthirsty Blade,,Goad,
Empowered Autogenerator,,,
Idol of Oblivion,,,
Pendant of Prosperity,,,
Scaretiller,,,
Scroll of Fate,,Manifest,
Sanctum of Eternity,,,
Desolation Twin,,,
Angel of Sanctions,W,"Embalm, Flying",
Divine Reckoning,W,Flashback,
Dusk // Dawn,W,,
Dusk // Dawn,W,Aftermath,
Ghostly Prison,W,,
Hour of Reckoning,W,Convoke,
Increasing Devotion,W,Flashback,
Intangible Virtue,W,,
Phyrexian Rebirth,W,,
Prismatic Strands,W,Flashback,
Pristine Angel,W,Flying,
Purify the Grave,W,Flashback,
Ray of Distortion,W,Flashback,
Roc Egg,W,Defender,
Rootborn Defenses,W,Populate,
Storm Herd,W,,
Sun Titan,W,Vigilance,
Trostani's Judgment,W,Populate,
Wingmate Roc,W,"Flying, Raid",
"Zetalpa, Primal Dawn",W,"Double strike, Flying, Indestructible, Trample, Vigilance",Legendary
Chemister's Insight,U,Jump-start,
Chromeshell Crab,U,Morph,
Clever Impersonator,U,,
Deep Analysis,U,Flashback,
Echoing Truth,U,,
Fact or Fiction,U,,
Fervent Denial,U,Flashback,
Ixidron,U,,
Jace's Sanctum,U,Scry,
Kheru Spellsnatcher,U,Morph,
Mystic Retrieval,"R, U",Flashback,
Oona's Grace,U,Retrace,
Reality Shift,U,Manifest,
River Kelpie,U,Persist,
Runic Repetition,U,,
Secrets of the Dead,U,,
Stratus Dancer,U,"Flying, Megamorph",
"Talrand, Sky Summoner",U,,Legendary
Tezzeret's Gambit,U,Proliferate,
Think Twice,U,Flashback,
Thousand Winds,U,"Flying, Morph",
Vesuvan Shapeshifter,U,Morph,
Willbender,U,Morph,
Asylum Visitor,B,Madness,
Bane of the Living,B,Morph,
Beacon of Unrest,B,,
Big Game Hunter,B,Madness,
Boneyard Parley,B,,
Call to the Netherworld,B,Madness,
Champion of Stray Souls,B,,
Dark Withering,B,Madness,
Doomed Necromancer,B,,
Faith of the Devoted,B,,
From Under the Floorboards,B,Madness,
"Geth, Lord of the Vault",B,"Intimidate, Mill",Legendary
Ghastly Conscription,B,Manifest,
Gorgon Recluse,B,Madness,
Grave Scrabbler,B,Madness,
Grim Haruspex,B,Morph,
Hedonist's Trove,B,,
Hex,B,,
In Garruk's Wake,B,,
Murderous Compulsion,B,Madness,
Nightshade Assassin,B,"First strike, Madness",
Ob Nixilis Reignited,B,,Legendary
Overseer of the Damned,B,Flying,
Plaguecrafter,B,,
Sanitarium Skeleton,B,,
Silumgar Assassin,B,Megamorph,
Skinthinner,B,Morph,
Soul of Innistrad,B,Deathtouch,
The Eldest Reborn,B,,
Zombie Infestation,B,,
Alchemist's Greeting,R,Madness,
Avacyn's Judgment,R,Madness,
Burning Vengeance,R,,
Chaos Warp,R,,
Desperate Ravings,"R, U",Flashback,
Devil's Play,R,Flashback,
Dragonmaster Outcast,R,,
Faithless Looting,R,Flashback,
Feldon of the Third Path,R,,Legendary
Fiery Temper,R,Madness,
Flamerush Rider,R,Dash,
Flayer of the Hatebound,R,Undying,
Guttersnipe,R,,
Heart-Piercer Manticore,R,Embalm,
Increasing Vengeance,R,Flashback,
Magmaquake,R,,
Magus of the Wheel,R,,
Malevolent Whispers,R,Madness,
Rolling Temblor,R,Flashback,
"Squee, Goblin Nabob",R,,Legendary
Stromkirk Occultist,R,"Madness, Trample",
Violent Eruption,R,Madness,
Warstorm Surge,R,,
Ainok Survivalist,G,Megamorph,
Beast Within,G,,
Colossal Majesty,G,,
Cultivate,G,,
Deathmist Raptor,G,"Deathtouch, Megamorph",
Den Protector,G,Megamorph,
Druid's Deliverance,G,Populate,
Elemental Bond,G,,
Explore,G,,
Farseek,G,,
Fresh Meat,G,,
"Garruk, Primal Hunter",G,,Legendary
Garruk's Packleader,G,,
Giant Adephage,G,Trample,
Great Oak Guardian,G,"Flash, Reach",
Harmonize,G,,
Hooded Hydra,G,Morph,
Momentous Fall,G,,
Nantuko Vigilante,G,Morph,
Overwhelming Stampede,G,,
Rampaging Baloths,G,"Landfall, Trample",
Sakura-Tribe Elder,G,,
Second Harvest,G,,
Seedborn Muse,G,,
Shamanic Revelation,G,Ferocious,
Slice in Twain,G,,
Soul of Zendikar,G,Reach,
Tempt with Discovery,G,Tempting offer,
Thelonite Hermit,G,Morph,
Thragtusk,G,,
Trail of Mystery,G,,
Biomass Mutation,"G, U",,
Bloodhall Priest,"B, R",Madness,
Bounty of the Luxa,"G, U",,
Crackling Drake,"R, U",Flying,
Emmara Tandris,"G, W",,Legendary
Farm // Market,"U, W",,
Farm // Market,"U, W",Aftermath,
Growing Ranks,"G, W",Populate,
Icefeather Aven,"G, U","Flying, Morph",
Naya Charm,"G, R, W",,
Pristine Skywise,"U, W",Flying,
Putrefy,"B, G",,
Ral Zarek,"R, U",,Legendary
Refuse // Cooperate,"R, U",,
Refuse // Cooperate,"R, U",Aftermath,
Sagu Mauler,"G, U","Hexproof, Morph, Trample",
Secret Plans,"G, U",,
Sultai Charm,"B, G, U",,
Sundering Growth,"G, W",Populate,
"Trostani, Selesnya's Voice","G, W",Populate,Legendary
Urban Evolution,"G, U",,
Vitu-Ghazi Guildmage,"G, W",Populate,
Vraska the Unseen,"B, G",,Legendary
Wayfaring Temple,"G, W",Populate,
Armillary Sphere,,,
Azorius Locket,"U, W",,
Burnished Hart,,,
Commander's Sphere,,,
Grimoire of the Dead,,,Legendary
Hedron Archive,,,
Izzet Locket,"R, U",,
Key to the City,,,
Lightning Greaves,,Equip,
Meteor Golem,,,
Mimic Vat,,Imprint,
Rakdos Locket,"B, R",,
Sol Ring,,,
Solemn Simulacrum,,,
Soul Foundry,,Imprint,
Strionic Resonator,,,
Thran Dynamo,,,
Akoum Refuge,"B, R",,
Ash Barrens,,"Basic landcycling, Cycling, Landcycling",
Azorius Chancery,"U, W",,
Barren Moor,B,Cycling,
Bloodfell Caves,"B, R",,
Blossoming Sands,"G, W",,
Bojuka Bog,B,,
Boros Garrison,"R, W",,
Boros Guildgate,"R, W",,
Cinder Barrens,"B, R",,
Cinder Glade,"G, R",,
Command Tower,,,
Darkwater Catacombs,"B, U",,
Dimir Aqueduct,"B, U",,
Drownyard Temple,,,
Evolving Wilds,,,
Exotic Orchard,,,
Forgotten Cave,R,Cycling,
Foul Orchard,"B, G",,
Gargoyle Castle,,,
Geier Reach Sanitarium,,,Legendary
Golgari Guildgate,"B, G",,
Golgari Rot Farm,"B, G",,
Graypelt Refuge,"G, W",,
Gruul Turf,"G, R",,
Highland Lake,"R, U",,
Izzet Boilerworks,"R, U",,
Izzet Guildgate,"R, U",,
Jungle Hollow,"B, G",,
Jungle Shrine,"G, R, W",,
Kazandu Refuge,"G, R",,
Krosan Verge,,,
Llanowar Wastes,"B, G",,
Memorial to Folly,B,,
Mortuary Mire,B,,
Myriad Landscape,,,
Mystic Monastery,"R, U, W",,
Naya Panorama,,,
Opulent Palace,"B, G, U",,
Prairie Stream,"U, W",,
Rakdos Carnarium,"B, R",,
Rakdos Guildgate,"B, R",,
Reliquary Tower,,,
"Rix Maadi, Dungeon Palace","B, R",,
Rogue's Passage,,,
Rugged Highlands,"G, R",,
Selesnya Sanctuary,"G, W",,
Shrine of the Forsaken Gods,,,
Simic Growth Chamber,"G, U",,
Simic Guildgate,"G, U",,
Stone Quarry,"R, W",,
Sungrass Prairie,"G, W",,
Sunken Hollow,"B, U",,
Swiftwater Cliffs,"R, U",,
Temple of the False God,,,
Terramorphic Expanse,,,
Thespian's Stage,,,
Thornwood Falls,"G, U",,
Tranquil Cove,"U, W",,
Wind-Scarred Crag,"R, W",,
Woodland Stream,"G, U",,
Yavimaya Coast,"G, U",,
Plains,W,,Basic
Plains,W,,Basic
Plains,W,,Basic
Island,U,,Basic
Island,U,,Basic
Island,U,,Basic
Swamp,B,,Basic
Swamp,B,,Basic
Swamp,B,,Basic
Mountain,R,,Basic
Mountain,R,,Basic
Mountain,R,,Basic
Forest,G,,Basic
Forest,G,,Basic
Forest,G,,Basic
"Trynn, Champion of Freedom",W,"Partner, Partner with",Legendary
"Haldan, Avid Arcanist",U,"Partner, Partner with",Legendary
"Nikara, Lair Scavenger",B,"Menace, Partner, Partner with",Legendary
"Brallin, Skyshark Rider",R,"Partner, Partner with",Legendary
"Cazur, Ruthless Stalker",G,"Partner, Partner with",Legendary
"Akim, the Soaring Wind","R, U, W",Flying,Legendary
"Gavi, Nest Warden","R, U, W",,Legendary
Jirina Kudro,"B, R, W",,Legendary
"Kalamax, the Stormsire","G, R, U",,Legendary
"Kathril, Aspect Warper","B, G, W",,Legendary
"Kelsien, the Plague","B, R, W","Haste, Vigilance",Legendary
"Otrimi, the Ever-Playful","B, G, U","Mutate, Trample",Legendary
"Pako, Arcane Retriever","G, R","Haste, Partner, Partner with",Legendary
"Shabraz, the Skyshark","U, W","Flying, Partner, Partner with",Legendary
"Silvar, Devourer of the Free","B, R","Menace, Partner, Partner with",Legendary
"Tayam, Luminous Enigma","B, G, W",Mill,Legendary
"Ukkima, Stalking Shadow","B, U","Partner, Partner with",Legendary
"Xyris, the Writhing Storm","G, R, U",Flying,Legendary
"Yannik, Scavenging Sentinel","G, W","Partner, Partner with, Vigilance",Legendary
"Zaxara, the Exemplary","B, G, U",Deathtouch,Legendary
Cryptic Trilobite,,,
Avenging Huntbonder,W,Double strike,
Call the Coppercoats,W,Strive,
Cartographer's Hawk,W,Flying,
Dismantling Wave,W,Cycling,
Flawless Maneuver,W,,
Herald of the Forgotten,W,Flying,
Martial Impetus,W,"Enchant, Goad",
Verge Rangers,W,First strike,
Vitality Hunter,W,"Lifelink, Monstrosity",
Crystalline Resonance,U,,
Decoy Gambit,U,,
Eon Frolicker,U,Flying,
Ethereal Forager,U,"Delve, Flying",
Fierce Guardianship,U,,
Nascent Metamorph,U,,
Psychic Impetus,U,"Enchant, Goad, Scry",
Souvenir Snatcher,U,"Flying, Mutate",
Tidal Barracuda,U,,
Boneyard Mycodrax,B,Scavenge,
Daring Fiendbonder,B,Haste,
Deadly Rollick,B,,
Dredge the Mire,B,,
Mindleecher,B,"Flying, Mutate",
Netherborn Altar,B,,
Parasitic Impetus,B,"Enchant, Goad",
Species Specialist,B,,
Titan Hunter,B,,
Agitator Ant,R,Goad,
Deflecting Swat,R,,
Fireflux Squad,R,Haste,
Frontier Warmonger,R,,
Lavabrink Floodgates,R,,
Molten Echoes,R,,
Shiny Impetus,R,"Enchant, Goad, Treasure",
Spellpyre Phoenix,R,Flying,
Surly Badgersaur,R,"Fight, Treasure",
Capricopian,G,,
Curious Herd,G,,
Glademuse,G,,
Obscuring Haze,G,,
Predatory Impetus,G,"Enchant, Goad",
Ravenous Gigantotherium,G,Devour,
Sawtusk Demolisher,G,"Mutate, Trample",
Selective Adaptation,G,,
Slippery Bogbonder,G,"Flash, Hexproof",
Bonder's Ornament,,,
Manascape Refractor,,,
Sanctuary Blade,,Equip,
Twinning Staff,,,
Nesting Grounds,,,
Aerial Responder,W,"Flying, Lifelink, Vigilance",
"Akroma, Angel of Wrath",W,"First strike, Flying, Haste, Protection, Trample, Vigilance",Legendary
Akroma's Vengeance,W,Cycling,
Angel of Finality,W,Flying,
Astral Drift,W,Cycling,
Banisher Priest,W,,
Bounty Agent,W,Vigilance,
Cast Out,W,"Cycling, Flash",
Cataclysmic Gearhulk,W,Vigilance,
Cavalry Pegasus,W,Flying,
Citywide Bust,W,,
Cleansing Nova,W,,
Dearly Departed,W,Flying,
Decree of Justice,W,Cycling,
Descend upon the Sinful,W,Delirium,
Devout Chaplain,W,,
Eternal Dragon,W,"Cycling, Flying, Plainscycling",
Frontline Medic,W,Battalion,
Hoofprints of the Stag,W,,
Increasing Devotion,W,Flashback,
Kalemne's Captain,W,"Monstrosity, Vigilance",
Knight of the White Orchid,W,First strike,
Magus of the Disk,W,,
"Odric, Lunarch Marshal",W,,Legendary
"Odric, Master Tactician",W,First strike,Legendary
Reveillark,W,"Evoke, Flying",
Riders of Gavony,W,Vigilance,
Solemn Recruit,W,"Double strike, Revolt",
Spirit Cairn,W,,
Sun Titan,W,Vigilance,
Sunblast Angel,W,Flying,
Thalia's Lieutenant,W,,
Thraben Doomsayer,W,Fateful hour,
Together Forever,W,Support,
Unexpectedly Absent,W,,
"Zetalpa, Primal Dawn",W,"Double strike, Flying, Indestructible, Trample, Vigilance",Legendary
Chemister's Insight,U,Jump-start,
Curator of Mysteries,U,"Cycling, Flying, Scry",
Drake Haven,U,,
Frantic Search,U,,
Hieroglyphic Illumination,U,Cycling,
Illusory Ambusher,U,Flash,
"Jace, Architect of Thought",U,,Legendary
Lunar Mystic,U,,
Mind Spring,U,,
Mulldrifter,U,"Evoke, Flying",
Murmuring Mystic,U,,
New Perspectives,U,,
Niblis of Frost,U,"Flying, Prowess",
Nimble Obstructionist,U,"Cycling, Flash, Flying",
Portal Mage,U,Flash,
Propaganda,U,,
Swarm Intelligence,U,,
"Talrand, Sky Summoner",U,,Legendary
Vizier of Tumbling Sands,U,Cycling,
Whiplash Trap,U,,
Windfall,U,,
Ambition's Cost,B,,
Cairn Wanderer,B,Changeling,
Deadly Tempest,B,,
Disciple of Bolas,B,,
Ever After,B,,
Painful Truths,B,Converge,
Profane Command,B,,
Shriekmaw,B,"Evoke, Fear",
Soul of Innistrad,B,Deathtouch,
Soulflayer,B,Delve,
Unburial Rites,"B, W",Flashback,
Vampire Nighthawk,B,"Deathtouch, Flying, Lifelink",
Xathrid Necromancer,B,,
Zulaport Cutthroat,B,,
"Alesha, Who Smiles at Death","B, R, W",First strike,Legendary
Captivating Crew,R,,
"Chandra, Flamecaller",R,,Legendary
Chaos Warp,R,,
Charmbreaker Devils,R,,
Comet Storm,R,Multikicker,
Commune with Lava,R,,
Dualcaster Mage,R,Flash,
"Etali, Primal Storm",R,,Legendary
Fumiko the Lowblood,R,,Legendary
Goblin Dark-Dwellers,R,Menace,
Humble Defector,R,,
Lightning Rift,R,,
Magus of the Wheel,R,,
Outpost Siege,R,,
Shared Animosity,R,,
Slice and Dice,R,Cycling,
Starstorm,R,Cycling,
Surreal Memoir,R,Rebound,
Tectonic Reformation,R,Cycling,
Titan of Eternal Fire,R,,
Vigilante Justice,R,,
Acidic Slime,G,Deathtouch,
Animist's Awakening,G,Spell mastery,
Beast Whisperer,G,,
Beast Within,G,,
Crop Rotation,G,,
Cultivate,G,,
Evolution Charm,G,,
Genesis Hydra,G,,
Harmonize,G,,
Harrow,G,,
Heroes' Bane,G,,
Hornet Queen,G,"Deathtouch, Flying",
Hungering Hydra,G,,
Hunter's Insight,G,,
Hunting Pack,G,Storm,
Kodama's Reach,G,,
Krosan Grip,G,Split second,
Majestic Myriarch,G,,
Masked Admirers,G,,
Natural Connection,G,,
Predator Ooze,G,Indestructible,
Reclamation Sage,G,,
Sakura-Tribe Elder,G,,
Satyr Wayfinder,G,,
Skullwinder,G,Deathtouch,
Slice in Twain,G,,
Splinterfright,G,"Mill, Trample",
Strength of the Tajuru,G,Multikicker,
Tribute to the Wild,G,,
Vastwood Hydra,G,,
Vorapede,G,"Trample, Undying, Vigilance",
Wilderness Reclamation,G,,
Yavimaya Dryad,G,Forestwalk,
Abzan Ascendancy,"B, G, W",,
Abzan Charm,"B, G, W",,
"Adriana, Captain of the Guard","R, W",Melee,Legendary
Ajani Unyielding,"G, W",,Legendary
Archon of Valor's Reach,"G, W","Flying, Trample, Vigilance",
Artifact Mutation,"G, R",,
Cold-Eyed Selkie,"G, U","Islandwalk, Landwalk",
Crackling Doom,"B, R, W",,
Crackling Drake,"R, U",Flying,
Deadbridge Chant,"B, G",Mill,
Deathsprout,"B, G",,
Despark,"B, W",,
Djinn Illuminatus,"R, U",Flying,
Duneblast,"B, G, W",,
Find // Finality,"B, G",,
Find // Finality,"B, G",,
"Garna, the Bloodflame","B, R",Flash,Legendary
Gaze of Granite,"B, G",,
Grisly Salvage,"B, G",,
Growth Spiral,"G, U",,
"Isperia, Supreme Judge","U, W",Flying,Legendary
"Karametra, God of Harvests","G, W",Indestructible,Legendary
The Locust God,"R, U",Flying,Legendary
"Melek, Izzet Paragon","R, U",,Legendary
Mercurial Chemister,"R, U",,
Migratory Route,"U, W","Basic landcycling, Cycling, Landcycling",
"Nahiri, the Harbinger","R, W",,Legendary
"Nissa, Steward of Elements","G, U",Scry,Legendary
"Niv-Mizzet, the Firemind","R, U",Flying,Legendary
Nyx Weaver,"B, G","Mill, Reach",
Prophetic Bolt,"R, U",,
Putrefy,"B, G",,
"Rashmi, Eternities Crafter","G, U",,Legendary
Temur Charm,"G, R, U",Fight,
Terminate,"B, R",,
Trygon Predator,"G, U",Flying,
Villainous Wealth,"B, G, U",,
"Wort, the Raidmother","G, R",,Legendary
"Wydwen, the Biting Gale","B, U","Flash, Flying",Legendary
Abandoned Sarcophagus,,,
Arcane Signet,,,
Azorius Signet,"U, W",,
Boros Signet,"R, W",,
Commander's Sphere,,,
Fluctuator,,,
Heirloom Blade,,Equip,
Izzet Signet,"R, U",,
Lifecrafter's Bestiary,G,Scry,
Lightning Greaves,,Equip,
Mimic Vat,,Imprint,
Orzhov Signet,"B, W",,
Psychosis Crawler,,,
Rakdos Signet,"B, R",,
Silent Arbiter,,,
Skullclamp,,Equip,
Sol Ring,,,
Solemn Simulacrum,,,
Swiftfoot Boots,,Equip,
Ash Barrens,,"Basic landcycling, Cycling, Landcycling",
Azorius Chancery,"U, W",,
Battlefield Forge,"R, W",,
Blighted Woodland,G,,
Bojuka Bog,B,,
Boros Garrison,"R, W",,
Canopy Vista,"G, W",,
Caves of Koilos,"B, W",,
Cinder Glade,"G, R",,
Command Tower,,,
Darkwater Catacombs,"B, U",,
Desert of the Fervent,R,Cycling,
Desert of the Mindful,U,Cycling,
Desert of the True,W,Cycling,
Desolate Lighthouse,"R, U",,
Dimir Aqueduct,"B, U",,
Drifting Meadow,W,Cycling,
Endless Sands,,,
Exotic Orchard,,,
Forgotten Cave,R,Cycling,
Frontier Bivouac,"G, R, U",,
Gavony Township,"G, W",,
Golgari Rot Farm,"B, G",,
Grim Backwoods,"B, G",,
Gruul Turf,"G, R",,
Halimar Depths,U,,
Hostile Desert,,,
Irrigated Farmland,"U, W",Cycling,
Izzet Boilerworks,"R, U",,
Kessig Wolf Run,"G, R",,
Krosan Verge,,,
Llanowar Wastes,"B, G",,
Lonely Sandbar,U,Cycling,
Memorial to Folly,B,,
Mortuary Mire,B,,
Mossfire Valley,"G, R",,
Mosswort Bridge,G,Hideaway,
Myriad Landscape,,,
Mystic Monastery,"R, U, W",,
Nomad Outpost,"B, R, W",,
Opulent Palace,"B, G, U",,
"Oran-Rief, the Vastwood",G,,
Orzhov Basilica,"B, W",,
Path of Ancestry,,Scry,
Prairie Stream,"U, W",,
Rakdos Carnarium,"B, R",,
Reliquary Tower,,,
Remote Isle,U,Cycling,
Rogue's Passage,,,
Rupture Spire,,,
Sandsteppe Citadel,"B, G, W",,
Scavenger Grounds,,,
Secluded Steppe,W,Cycling,
Selesnya Sanctuary,"G, W",,
Shadowblood Ridge,"B, R",,
Shivan Reef,"R, U",,
Simic Growth Chamber,"G, U",,
Skycloud Expanse,"U, W",,
Smoldering Crater,R,Cycling,
Smoldering Marsh,"B, R",,
Soaring Seacliff,U,,
Spinerock Knoll,R,Hideaway,
Sungrass Prairie,"G, W",,
Sunken Hollow,"B, U",,
Temple of the False God,,,
Unclaimed Territory,,,
Windbrisk Heights,W,Hideaway,
Yavimaya Coast,"G, U",,
"Breena, the Demagogue","B, W",Flying,Legendary
"Felisa, Fang of Silverquill","B, W","Flying, Mentor",Legendary
"Veyran, Voice of Duality","R, U",Magecraft,Legendary
"Zaffai, Thunder Conductor","R, U","Magecraft, Scry",Legendary
"Gyome, Master Chef","B, G","Food, Trample",Legendary
"Willowdusk, Essence Seer","B, G",,Legendary
"Alibou, Ancient Witness","R, W",Scry,Legendary
"Osgir, the Reconstructor","R, W",Vigilance,Legendary
"Adrix and Nev, Twincasters","G, U",Ward,Legendary
"Esix, Fractal Bloom","G, U",Flying,Legendary
Angel of the Ruins,W,"Cycling, Flying, Plainscycling",
Archaeomancer's Map,W,,
Bronze Guardian,W,"Double strike, Ward",
Combat Calligrapher,W,Flying,
Digsite Engineer,W,,
Excavation Technique,W,"Demonstrate, Treasure",
Guardian Archon,W,Flying,
"Losheel, Clockwork Scholar",W,,Legendary
Monologue Tax,W,Treasure,
"Nils, Discipline Enforcer",W,,Legendary
Promise of Loyalty,W,,
Scholarship Sponsor,W,,
Commander's Insight,U,,
Curiosity Crafter,U,Flying,
Dazzling Sphinx,U,Flying,
"Deekah, Fractal Theorist",U,Magecraft,Legendary
Inspiring Refrain,U,Suspend,
Muse Vortex,U,,
"Octavia, Living Thesis",U,"Magecraft, Ward",Legendary
Perplexing Test,U,,
Replication Technique,U,Demonstrate,
Sly Instigator,U,Goad,
Spawning Kraken,U,,
Theoretical Duplication,U,,
Author of Shadows,B,,
Blight Mound,B,,
Bold Plagiarist,B,Flash,
Cunning Rhetoric,B,,
Essence Pulse,B,,
"Fain, the Broker",B,Treasure,Legendary
Incarnation Technique,B,"Demonstrate, Mill",
Keen Duelist,B,,
Marshland Bloodcaster,B,Flying,
Stinging Study,B,,
